,Intensidad,Magnitud,GAP
0,4.3,4.5,65.0
1,2.0,4.5,65.0
2,2.0,5.0,31.0
3,4.3,5.0,65.0
4,6.7,6.0,36.0
5,4.8,4.8,62.0
6,2.0,4.6,67.0
7,3.4,4.6,77.0
8,4.1,5.1,64.0
9,3.4,4.4,73.0
10,4.1,4.4,79.0
11,3.0,4.4,73.0
12,4.6,5.7,51.0
13,3.1,4.5,83.0
14,2.5,5.0,72.0
15,4.1,5.5,29.0
16,4.6,4.3,90.0
17,3.9,4.8,138.9
18,4.6,6.8,17.6
19,3.1,5.1,24.0
20,4.8,5.1,67.2
21,1.0,4.2,88.0
22,5.9,5.0,31.0
23,3.4,4.8,54.0
24,2.0,4.6,72.0
25,4.3,4.6,17.0
26,4.6,5.1,26.4
27,4.1,4.7,28.0
28,3.8,4.7,24.0
29,4.7,4.5,59.0
30,1.0,4.5,108.0
31,2.7,4.5,85.0
32,3.1,4.5,100.0
33,2.2,4.5,107.0
34,1.0,4.5,51.0
35,1.0,4.5,70.0
36,1.0,4.5,62.0
37,2.0,4.5,64.0
38,1.0,4.5,60.0
39,5.1,5.0,25.0
40,2.0,5.0,53.0
41,2.5,5.0,41.0
42,5.8,5.0,50.0
43,2.5,5.0,59.6
44,4.8,5.5,21.0
45,2.0,4.3,102.0
46,3.9,4.3,123.2
47,2.5,4.8,58.0
48,4.6,4.8,90.0
49,3.8,4.8,52.1
50,4.3,4.6,47.0
51,3.4,5.1,31.0
52,2.7,4.4,84.0
53,3.8,4.4,62.0
54,4.3,4.4,102.0
55,1.0,4.4,53.0
56,1.0,4.4,94.0
57,1.0,4.4,122.0
58,2.4,4.9,132.0
59,2.5,4.9,94.0
60,3.4,4.9,55.0
61,4.1,4.9,51.0
62,1.0,4.2,65.0
63,6.2,4.7,50.0
64,2.6,4.7,94.0
65,2.7,4.7,106.0
66,4.1,4.7,62.0
67,1.0,4.7,56.0
68,4.2,5.2,24.0
69,5.0,5.2,57.4
70,2.4,5.7,48.0
71,2.7,6.2,45.5
72,3.8,6.7,22.0
73,8.0,7.2,50.2
74,3.8,4.5,85.0
75,2.9,4.5,78.0
76,5.3,5.0,73.0
77,3.1,5.0,61.0
78,5.7,5.5,47.0
79,6.7,7.3,15.5
80,3.4,4.6,76.0
81,3.8,4.6,110.0
82,6.6,5.1,40.0
83,5.0,5.6,67.0
84,5.2,5.6,35.0
85,3.1,4.4,91.0
86,2.0,4.4,100.0
87,3.4,4.9,66.0
88,3.8,4.7,100.0
89,1.0,4.4,56.0
90,4.1,5.4,24.0
91,2.2,4.5,65.0
92,2.0,4.3,52.0
93,1.0,4.6,63.0
94,3.4,5.1,56.0
95,4.3,4.4,74.0
96,3.4,4.7,54.0
97,4.4,5.2,29.0
98,5.0,5.3,21.0
99,2.9,4.6,87.0
100,3.9,4.4,54.0
101,5.2,4.0,99.0
102,1.0,4.0,93.0
103,3.8,4.5,81.0
104,3.1,5.0,52.0
105,3.8,3.4,177.0
106,1.0,4.3,177.0
107,2.0,4.6,140.0
108,4.3,3.2,161.0
109,5.6,4.9,42.0
110,1.0,4.9,54.0
111,5.2,6.9,23.7
112,2.0,4.2,155.0
113,1.0,4.2,140.0
114,3.6,4.7,42.0
115,1.0,4.7,51.0
116,2.0,5.2,29.0
117,3.1,5.7,51.0
118,3.1,4.5,80.0
119,1.0,4.5,82.0
